File_name ,Reference_transcript ,Language 
Approve E3.aac,Approve payment,en-IN
Approve E1.aac,Approve the collect request,en-IN
Balance E4.aac,Check my account balance,en-IN
Approve E2.aac,Confirm payment,en-IN
Balance E2.aac,Go to my account balance,en-IN
Transaction his E2.aac,Goto my transactions,en-IN
Donation E2.aac,I want to donate five hundred to Akshaya patra foundation,en-IN
Req E2.aac,I want to request 3k from Jagan,en-IN
Send E4.aac,I want to send one thousand rupees to Jeevan,en-IN
Scanner E5.aac,Open QR code scanner and pay 1000,en-IN
Scanner E2.aac,Open scanner and pay 2300,en-IN
Send E5.aac,Pay 3.5k to Shanthi,en-IN
scanner E4.aac,Pay 350 through Scanner,en-IN
Send E2.aac,Pay 500 rupees to Shiva,en-IN
Bill E3.aac,Pay 950 for gas bill,en-IN
Bill E1.aac,Pay my electricity bill of 2000,en-IN
Bill E2.aac,Pay my water bill three hundred and fifty five,en-IN
Req E3.aac,Please request 350 from Govind,en-IN
Transaction His E1.aac,Previous transaction history,en-IN
Req E4.aac,Receive house rent of fifteen thousand from Manju,en-IN
Req E5.aac,Request Surya to pay seven hundred and eighty rupees,en-IN
Req E1.aac,Request two thousand rupees from Jitendra,en-IN
Scanner E1.aac,Scan and pay rupees two hundred,en-IN
Scanner E3.aac,Scan to pay 2.5k,en-IN
Gift E3.aac,Send a gift to Jagan of 335.,en-IN
Send E1.aac,Send hundred rupees to Ram from my account,en-IN
Gift E1.aac,Send three thousand rupees gift to Gayathri,en-IN
Ipo E2.aac,Show all current IPOs,en-IN
Balance E1.aac,Show my balance,en-IN
https://drive.google.com/open?id=1Zo7TeHw4QclobigcmhxsURvWf6JLBmhJ&usp=drive_copy,Show my last transaction history,en-IN
Offers E1.aac,Show popular offers,en-IN
Ipo E1.aac,Take me to IPOs listing page,en-IN
Donation E3.aac,Transfer 1001 to COVID-19 relief fund,en-IN
send E3.aac,Transfer 5k to Jagan,en-IN
Balance E3.aac,View my balance,en-IN
offers E3.aac,View offers,en-IN
offers E2.aac,What are the offers for bill payments,en-IN
Ipo H3.aac,एक्टिव आईपीओ,hi-IN
Offer H2.aac,ऑफ़र दिखाएं,hi-IN
Approve H1.aac,कलेक्ट रिक्वेस्ट को स्वीकार करो,hi-IN
Req H3.aac,कृपया गोविंद से 350 मांगे,hi-IN
Donation H3.aac,कोविड-19 राहत कोष को 1001 ट्रांसफर करें,hi-IN
scanner H4.aac,क्यूआर कोड स्कैनर खोल और 1000 पेय करो,hi-IN
Gift H1.aac,गायत्री को तीन हजार रुपए का तोहफा भेजें,hi-IN
bill H3.aac,गैस बिल 950 का पेमेंट करें,hi-IN
Transation his H2.aac,गोटो माय ट्रांजैक्शनस,hi-IN
gift H3.aac,जगन को 335 का तोहफा भेजें,hi-IN
Req H2.aac,जितेंद्र से दो हजार रुपए मांगे,hi-IN
transaction his H1.aac,पिछला लेन-देन दिखाएं,hi-IN
Donation H1.aac,पीएम केयर्स फंड में 5 हजार दान करें,hi-IN
Approve H3.aac,पेमेंट अप्प्रोवे करो,hi-IN
Approve H2.aac,पेमेंट कन्फर्म करो,hi-IN
Offer H1.aac,बिल पेमेंट के लिए क्या ऑफ़र हैं,hi-IN
Req H4.aac,मंजू से पन्द्रह हजार मकान किराया के लिये मांगे,hi-IN
gift H2.aac,मां को पांच हजार रुपए दीपावली गिफ्ट भेजें,hi-IN
ipo H1.aac,मुझे आईपीओ लिस्टिंग पेज पर ले जाएं,hi-IN
Transaction His H3.aac,मेरा पिछला ट्रांजैक्शनस इतिहास दिखाएं,hi-IN
Balance H1.aac,मेरा बैलेंस दिखाओ,hi-IN
Balance H2.aac,मेरे अकाउंट बैलेंस दिखाओ,hi-IN
Balance H3.aac,मेरे खाते का बैलेंस चेक करें,hi-IN
Send H1.aac,मेरे खाते से राम को सौ रुपये भेजो,hi-IN
Bill H2.aac,मेरे पानी का बिल तीन सौ पचपन का भुगतान करो,hi-IN
Bill H1.aac,मेरे बिजली का बिल 2000 पेमेंट करें,hi-IN
donation H2.aac,मैं अक्षय पात्र फाउंडेशन को पांच सौ दान करना चाहता हूं,hi-IN
Req H2.aac,मैं जगन से 300 मांगना चाहता हूं,hi-IN
Send H4.aac,मैं जीवन को एक हजार रुपये भेजना चाहता हूं,hi-IN
Send H5.aac,शांति को 3500 भेजो,hi-IN
Send H2.aac,शिवा को 500 रुपये भेजो,hi-IN
ipo h2.aac,सभी वर्तमान आईपीओ दिखाएँ,hi-IN
Send H3.aac,सात हजार जगन को ट्रांसफर कारो,hi-IN
Req H5.aac,सूर्या से सात सौ अस्सी रुपये मांगे,hi-IN
Scanner H1.aac,स्कैन करके दो सौ रुपए चुकाएं`,hi-IN
Scanner H2.aac,स्कैनर खोलें और 2300 पेय करो,hi-IN
Scanner H3.aac,स्कैनर द्वारा 350 पेय करें,hi-IN