File_name,Reference_transcript ,Language
ff4787fa-59ab-4fa6-8d28-5fcccb05120c,give some hundred rupees to vijay,en-IN
feec7e5a-fcf6-4850-8614-1c41b8e515db,what are the offers of paying water bill through the app,en-IN
fe270614-16d4-416b-855a-5e6e542ad540,request three sixty five from madhu,en-IN
fe1f1315-af02-4483-b280-cbe620051311,They are sound to pay five hundred rupees has a representative so please pay it,en-IN
fe1b58c3-8e41-457b-ad0e-12c976e36917,donate fifty thousand to Dr. Praveens eye hospital,en-IN
fdf06a9e-e1fc-42a7-9f8b-83b7729a3314,request five not one rupees from giri,en-IN
fd04afb3-3465-47dc-8c4a-85c5532fb5d3,five hundred,en-IN
fc65298a-237d-4555-8cd8-9c70eb0ac36a,what is the last payment ID,en-IN
fbf2fa64-8512-4aee-9c28-dcda27429ffb,go ahead and pay all the pending request,en-IN
fb4fe4a5-2311-4d60-a01c-d873bbcbae68,send five thousand to amithanshu bhaiya,en-IN
fb0c9ad8-af0a-4ab8-9dce-0ae15e09c786,show starter and put twenty one rupees in the amount,en-IN
fa61899b-052a-4b53-b7d4-e3ff6a290dab,pay my DTH bill,en-IN
fa6a612b-8f2e-4d9e-9794-270495811ae0,please pay the minimum of five thousand rupees for my credit card bill,en-IN
f86854f2-8304-470a-b267-cc9b0db7b917,check the IPO listed in my App,en-IN
f9897d8e-4013-404b-8aa4-01939bbe6ed2,send one thousand to satish,en-IN
f04865c8-4312-4c5f-9319-01c3a372313f,i want to clear my DTH outstanding,en-IN
f3628df0-447b-4623-bcd5-64aefc185694,show me offers,en-IN
f236a752-3de0-41b6-93be-58122496ced0,send two hundred to Dr. Aishwarya for her consultation fees,en-IN
f92e6155-cead-4e42-8a01-fdcb5c681281,pull up QR code scanner I want to pay,en-IN
f50b5353-4fb2-4c59-83b4-f4957c2ee83e,pay five hundred rupees has DTH bill,en-IN
f042fdf7-ad3e-4f99-b3d4-1cf8c65a68ab,request three hundred rupees from vishnu,en-IN
f37aab91-5ebb-4e80-bf62-a2d851058cd5,pay my electricity bill,en-IN
f15e0369-c243-495e-8211-128f1c7ae388,Accept payment from razorpay,en-IN
f9aab429-b9a6-4319-8535-1a66c4696188,show me any offers which are there in the app,en-IN
f8f6fd4a-0528-43ef-aedf-8a28c236aeb5,one thousand from jagan,en-IN
f6ce136c-5171-45dd-ab49-6fdf18ad7d0d,send two hundred rupees to my dad,en-IN
f3ab2a1c-ba42-42aa-9f4d-811a79394af0,transfer ten thousand,en-IN
f1fb2931-1d47-403b-aa72-fd7b1c2c6b2f,can u gift hundred bucks to my friend,en-IN
f1f0a348-87a0-484d-94da-0c30fe5f38b1,ask vaishnav to pay five hundred rupees,en-IN
f0c2f94a-d9ce-469a-b830-80ecf04c2e6e,please ask dr. aishwarya to send one thousand rupees as a refund,en-IN
eef55f8a-d7ff-4a09-9e59-763c868cc6b1,check my account balance,en-IN
eec5bfdc-0efe-4297-b8e3-878253a8b6ad,scan and pay five hundred rupees,en-IN
ee4225ee-6720-45c8-9a2d-17bf033cbb67,four hundred,en-IN
ee76dd2c-7ca0-45de-9e93-cfb382bbe256,please show QR code scanner,en-IN
ee1cb199-b667-4c82-bbf6-d43ae3bba1da,pay my phone bill to airtel,en-IN
edb889eb-4d4d-44a1-bbe3-49a84bfc45f4,i want to make a transaction to ajay four hundred rupees,en-IN
ed28b53b-6716-4521-a08c-2f171187ee60,thre four zero zero pnb account please tell the balance,en-IN
ed1ff3dd-acb8-438d-85ce-d69a08d3f9be,give tulsi a gift of six hundred rupees,en-IN
ed1c6cbe-4f44-4516-af18-4bb100eb0bef,show me my transactions,en-IN
eb606764-e7a2-46ae-9497-3c4f2cca31c7,bank balance,en-IN
eb92f45f-7952-4295-9f37-178d69126ed9,pay my gas bill,en-IN
eb2a10f5-77aa-4217-9ecd-44e3f0e47c8b,how much have i spent in last month,en-IN
e2401752-958b-403a-9da1-682d41729caa,approve my current payments,en-IN
e461308d-bffc-4811-b5ac-6ed4a1a91040,i would like to make a donation to akshaya patra,en-IN
e146776d-ec02-49c8-b495-7b4a4613d46a,infinite,en-IN
e17415e4-71e1-42fe-8c80-c43e2e704063,open QR code,en-IN
e4698de2-52b9-4d26-9d45-8cc6c900fba4,donation to PM cares fund,en-IN
e4619b03-a874-4a0b-8294-f0117a40a087,last transaction,en-IN
e3543c36-0ead-4766-ab36-1a2281d70f43,approve my current transaction,en-IN
e944a5d0-6bef-4a7f-bfda-722186869a61,can you donate two thousand rupees on my behalf to the PM care fund,en-IN
e105bcf6-310b-4783-aa0d-fab6da6a125c,i want to invest in the nykaa IPO,en-IN
e96ce484-ccc9-4411-a0ec-0268fd4b8ee7,donate five thousand rupees to the ,en-IN
e84ade3c-aa6c-43c0-a6f0-0a7af43b42da,open QR code to scan and pay thousand rupees ,en-IN
e66e3475-5bb9-4a63-8965-9157bb14361b,send five hundred rupees to Dr. neelam for her dental consultation fees,en-IN
e59a24d7-2046-4e72-a85a-4f6a116344c6,pay my fastag bill,en-IN
e57fc772-11e3-414b-8a0c-520e8d285396,request four hundred from anjali,en-IN
e23a74eb-1db7-46d9-92f8-af5bc020654d,show my account balance for HDFC account,en-IN
e19e5ae6-e814-4a98-8969-cd63de3cbf2a,please open the Qr scanner of rupees hundred and two point five zero,en-IN
e08c14ef-97f9-47f7-8ded-a5d153b54cc2,transfer ten thousand to EVG abhi,en-IN
e7be7084-d747-44cc-8ee3-b9f843eaccfc,pay my internet bill,en-IN
e4dc0b3f-050c-4802-929b-8494f5807f1e,PO,en-IN
e3f42e33-dead-4e7a-9349-5db5af58e710,pay my cable bill for two hundred and fifty two rupees,en-IN
e1db3384-7fd6-448e-8a57-6cde5dbeb4f8,any offers if i do payment of five thousand to a person,en-IN
e0cbbd27-21ef-477f-af40-c29b0d52396e,get five hundred rupees from dad,en-IN
dfa2d87a-5816-45b7-a6c2-f93949424e42,hey pay all the pending request,en-IN
de6345f1-1280-4138-8dac-6e83e1c0b182,gift vijay six thousand rupees,en-IN
de951c42-d4e8-4354-a2a5-051c3bc55f38,send six thousand to hariharan,en-IN
de77f92e-847e-49aa-883a-1df52da509ba,request shradha to send two hundred rupees and 11 rupees also to me,en-IN
de0cb7af-2bd3-4477-9c9b-ef8e08019922,i want to invest in IPO,en-IN
ddf8cf7c-5fc6-4010-a8ca-2f7ca1fa22d9,from nagendra,en-IN
dd673c98-a4ef-4ec9-9021-9d41a46ee7a1,scanner,en-IN
dd87ea5c-7df7-47d6-a519-a0665b7e8d5a,QR code,en-IN
dd72ce3d-e2e2-4715-8b1a-d491a4d530a0,show my balance,en-IN
dd5e779c-f5d5-40bd-916a-a6792d188035,send five hundred rupees to ajay has a gift,en-IN
dccb8fef-02d3-4835-9643-43441fcde025,request five hundred rupees from shanthi,en-IN
dcc63e6b-9429-4213-a357-2c845b255433,scan and send five thousand rupees,en-IN
dcaaf923-b9e4-44e5-affc-43ad8090df7a,send dad eleven hundred rupees for diwali has a gift,en-IN
dc6bafbf-b1c1-4923-b1c0-6fd438b868c6,please open a QR scanner to send five hundred rupees to shalu,en-IN
db23c871-8d84-41c2-b06f-b30375bc4494,i would like twenty thousand rupees from myself,en-IN
da10a7d0-708b-4483-93cf-d72f07a57327,how much do i have in my bank,en-IN
d8112543-7c1a-4e0b-9223-de7710b91c57,transfer two hundred rupees to vijay,en-IN
d84432e1-d35c-41df-b15b-9c10c9810f05,i want to see balance,en-IN
d767e5fd-181d-4cb8-95f0-761d0a8ad92a,i would like to see my balance,en-IN
d547d45d-7240-4d7c-955b-fd35552b875f,show me my account balance as of today,en-IN
d277f314-7c72-43fb-9741-61393d99e987,pay my life insurance bill,en-IN
d242ac84-d8a9-4883-a323-d5afb40d45c4,arya,en-IN
d237c8ad-6e99-43ac-bcd9-c21cac46934e,i want some great offers,en-IN
d73d6b31-7dc1-4af5-9ab1-9fdc8670b3fe,can you please pay the electricity bill,en-IN
d58a1343-54fd-41f7-9648-c4e23b1d3b77,ten thousand,en-IN
d9df3b3e-574d-40bc-b40b-e99b6d8b1d0c,view my balance,en-IN
d8aec939-3808-43fe-92d3-7ffb731e56f8,show me all the transaction of today,en-IN
d6b9b55a-58ab-4374-94ee-d1af9f01ecc1,i want to scan and pay fifteen hundred rupees to the hardware shop,en-IN
d4f16053-6211-4e9f-9afa-42b9a6534a4a,scan and send three thousand five sixty five rupees,en-IN
d4b64e73-3e00-42fd-96c6-49d04b50562f,why,en-IN
d3fdc905-61ea-436d-866a-535bfd225dfc,donate hariharan foundation with hundred rupees,en-IN
d3ddc2c5-c890-4520-afa8-6ed22e5f46a1,send money two thousand rupees to papa,en-IN
d2e568ec-c322-4360-b7c8-fb9bd0e448cc,ask vijetha to pay me thousand rupees,en-IN
d2bf00e5-215e-4b21-b807-b5f28a41213f,send hundred rupees to madhuri,en-IN
d0fab490-d81e-451d-8093-b82b9b0eb7c5,pay DTH payment of six hundred,en-IN
e8daf2fa-6df1-4edf-82fa-e1aa6cb0fe92,wire in fifteen thousand to myself,en-IN
cf7e69c9-9c88-47b6-aaae-1ce48601aa6d,i have ACT internet connection please pay two hundred twelve rupees outstanding balance for last month,en-IN
cf5ed8ad-e34d-42ec-8c54-5a2336360a9a,please send rajesh two fifty,en-IN
cf00bcfe-cf5c-4a60-8951-cbcf0ad95108,provide vijay five hundred rupees,en-IN
ce800b49-e68b-43c6-937e-de098bdce973,send three hundred rupees to madhu,en-IN
ce62cfca-ec55-42c4-8a62-4da600503127,transfer two not five to my sister,en-IN
cd7da8b0-321c-4d61-96a8-68a80b7739ff,four hundred,en-IN
cd2e3030-7101-4c96-8e35-15fea0044cc5,ask paru to pay me thousand rupees,en-IN
cceb1fe0-8620-46a7-a8fa-f4e0f356bbfd,can you check the offers of available,en-IN
ccb19037-3e6b-4a36-853e-a21ed0b92d8a,please take two hundred eleven rupees from uncle,en-IN
cc2370d8-8dcc-48ad-a578-57ed73208a59,i want to view the IPS today,en-IN
cbf39bf8-faa5-48fa-ac1e-ed56b88e3206,all right show the history for five months,en-IN
cb455380-188b-4671-8a7f-70ec7ae2f58b,what's my correct balance,en-IN
ca953e90-eca7-45e4-b453-012445734c1f,pay BESCOM five hundred rupees,en-IN
ca76fab4-ab70-4bd4-8899-5418c1946cd8,show me balance of the first account in your list,en-IN
c7245ec7-69b5-4628-9c43-4060303675c7,transfer four hundred to hussian,en-IN
c481e6a6-4980-4399-ba7f-c4688ed22833,pay my utilities bill,en-IN
c201b051-fc1d-415c-a7c0-69290b692761,request dr. neelam five hundred rupees for sandwich delivery,en-IN
c96c2d2e-3793-422f-ab4a-ef39ff4534a3,hundred rupees payment,en-IN
c94a8140-be82-4769-976d-0ef6e9fea32f,they have asked me to scan QR code and send five hundred rupees,en-IN
c16af755-a385-4642-8b23-bd5c7f2c03e7,i approve the request,en-IN
c7d70d8d-81de-4e2f-87d4-696ebab7b7a5,please make a transaction of six hundred rupees to ruthika,en-IN
c6ed8c73-bcea-4271-b58e-7e7eaa9fe669,scan and send nine thousand rupees,en-IN
c5f908f9-4b5e-4868-9e9c-d6f97a756d75,approve a payment of hundred rupees,en-IN
c4dabbac-45e3-4a4f-89da-c175e69c679a,pay one million rupees to myself,en-IN
c4ce2b1d-b023-4085-900b-852fe0ef790f,show me listed IPOs,en-IN
c4c03f86-7655-4c63-9343-e835a0b2f090,request three thousand from amar,en-IN
c3f38eb0-3a72-4af2-b556-4f15ac703a01,please send five thousand to abhishek,en-IN
c02c1ae6-4795-402e-991a-6fe77e83e909,approve a payment of two thousand rupees,en-IN
c1e627cc-b3d3-4979-813c-4f6c2a2a0569,open scanner to pay ten rupees,en-IN
c0bcd039-1490-42e9-a67b-aec0fe8a822f,donate some money to akshaya patra,en-IN
c0b28d23-1a6e-4a34-b574-353b614484fe,show me all the offers,en-IN
be663b9c-8b64-4079-a77a-84bf1b541f0a,please request maa to send me two hundred rupees,en-IN
be39b73c-48d5-4d58-ab09-bb1dd3a751c3,i want to view the listed IPOs,en-IN
be0a8320-b6fd-4e00-a245-d4f64795904b,scan and send three thousand rupees,en-IN
bdf9724e-3ba3-4576-b53e-29e777c654fa,i want to invest in paytm IPO,en-IN
bded8d45-23dc-4362-a2b2-ca3a46653067,i want to see my transaction,en-IN
bc8c06c7-d2e3-4e79-93fd-200c79eb363e,show me the list of active IPOs,en-IN
bacc1fa2-b0db-4f07-b7bf-3ddcd82ed57e,one thousand,en-IN
bab2aa03-ba51-4cd4-9238-93e6c3e25a29,i want to check my balance,en-IN
b16212c5-bca2-48ed-b96b-f4666229f998,make couple payment to airtel of eight hundred rupees,en-IN
b5552d87-f9ee-44e9-9ff8-a3d005036549,can u check current IPOs,en-IN
b4402d39-dacf-4c53-a41c-a27829c603e9,i would like to make a donation to akshaya patra,en-IN
b0808a05-d208-41f6-adb7-17c67f608382,please open QR scanner for hundred rupees,en-IN
b93c13fe-ce98-47c9-a692-db9446110b6b,donate five hundred to XY foundation,en-IN
b59e1d41-c3a7-4b7a-b2b4-2c3d7716447f,send three thousand rupees to lohith,en-IN
b48be9fd-a26f-4691-a261-68bab016918a,i wanted to pay electricity bill,en-IN
b9e61bef-30c3-4dc9-ad8c-696722bb5e16,request 500 rupees from abhinav jdj,en-IN
b8b13023-5552-4824-9f8f-9b5e8ddd3bb2,pull up QR code scanner I want to pay,en-IN
b7e72c46-9de8-4216-88da-1c89a3173c51,send four k to ravi taneja,en-IN
b06f5902-74ec-45d0-a49a-2d475aa5b8c2,hariharan as gift,en-IN
b6add438-f509-479e-8fbd-fe2dad0e91e7,airtel bill payment,en-IN
b06a4da9-25f4-4619-9016-8221dca36bcc,make payment against,en-IN
b0e24fd1-e2c9-4185-b80c-28c975744d31,send two hundred rupees to amar,en-IN
afe1ae5f-a71f-4df4-ac71-3219a991439d,ten k,en-IN
af6bb9e0-fe00-4ee0-890f-0bdad02f3499,i would like to make donation to PM cares fund,en-IN
aea79ead-c4b8-48a8-b05f-5034229d18b0,send hundred rupees to vishnu,en-IN
ade105aa-52f4-4764-b3d9-c6e7fd5e6f76,show me how to send hundred rupees,en-IN
adcfbbe5-ee4f-40bb-81bc-d28989bdc6ef,pay TATA sky bill,en-IN
ab677ffd-489c-4a7a-8e2d-bdbe6386be33,send my mom two thousand five hundred twenty bucks,en-IN
ab53c837-5d96-41d3-a844-ea1ab8c9699c,i would like to check all the offers,en-IN
a5122569-e98d-422d-8e13-0235cc67dc6c,approve the mutual fund request for three thousand five hundred rupees,en-IN
a2702793-0ded-4fbf-b2a8-ea9b35275a72,current balance,en-IN
a519181e-a539-4a26-9985-7e388d8c3f7d,i sent money to my friend  i want to get money back from him please request vishal,en-IN
a9083aa5-1413-41b0-bc3d-ed44ac674536,show me the ongoing IPos,en-IN
a1236ff5-344a-4ac7-9bef-ca5ebbbeccc1,request money from dad two not five rupees,en-IN
a752db79-8724-42e5-833c-712ff38901cd,hey donate twenty thousand to akshaya patra,en-IN
a705d746-2713-4fb0-9d45-3c408b28ff25,open the scanner and send two hundred rupees,en-IN
a613fe5b-76de-4a58-8ec8-7621ecde1ab7,QR code scanner to pay to pay,en-IN
a95bb29b-ccc2-4eb2-bd50-c6c9ee2e32aa,open the QR code,en-IN
a52a553e-a7b8-4e8a-b286-245749472f7f,just open the scanner dude,en-IN
a8fd3f60-4f3a-4187-9f85-b1123595a639,scan and send ten rupees,en-IN
a8d640cb-d058-4273-8d96-fd4608980944,accept payment from flipkart,en-IN
a6d0f2b4-e9c1-48a3-918e-7da2f2b4df36,approve my pending payments,en-IN
a6a2a0b4-b085-4053-b0f2-ba1058136196,shalu,en-IN
a5bdb3f5-cf89-4462-8fc8-b67ce95abf7f,ten thousand,en-IN
a1e892da-62bd-4e38-9da9-57d2c4bcf5cd,gowri,en-IN
96037096-e671-4ad7-88c5-7fba1525e6f8,show me the last ten transactions,en-IN
70753776-dbe8-4d32-8999-ba8ee8afe830,send hundred rupees to anjali,en-IN
58352447-2560-4d23-b367-f38b778437d7,open QR code to make a transaction of five hundred rupees,en-IN
49241138-d0e7-4426-9a1c-dbdec5cb4331,i would like to view all the offers,en-IN
46948740-eb8c-4b6a-9f36-706a7c454d56,request you to view my balance,en-IN
36747793-5fb8-4009-bd95-b6eeb6de327b,anu,en-IN
18213761-f08f-41bc-a147-2646e59d121c,request you to show me my balance,en-IN
7878047e-f871-468d-9b08-c125f4d60532,pay my water bill,en-IN
7698798e-0dcc-4738-b8ac-098e6db40d78,approve my payments,en-IN
7419358f-3bd8-431c-8fed-b42b9d87f11c,approve the pay request that i have from zerodha,en-IN
07157387-74a9-4be2-8313-17fdb62ecbd7,show offers related to HDFC credit card,en-IN
06473771-a8f1-4230-b7a6-0ea69fa8baa3,i want to donate two thousand rupees to the pradhana mantri yojana for gramina yojana,en-IN
02701957-d95d-431e-b8e4-1c8b34e11c5c,would like to pay my gas bill,en-IN
2622724e-7339-4966-99df-1dc71cb2e110,please request vishal to send me money which is of two hundred rupees,en-IN
2512123d-383d-47b4-ab49-c5c4cc9233e2,receive five k from vinayak,en-IN
2258214a-3629-4d83-bae2-a1c7dc5c6abe,request five hundred from neelam for sandwich delivery,en-IN
1835239b-02cf-4762-8056-2f8c75922d6b,show my bank balance,en-IN
1396503c-cb14-411c-ac9f-cb9c8c250500,send hundred eight rupees to nagesh ironwala,en-IN
878339fb-d2e8-4e53-a729-3f7b6ad7aa5b,what are the active IPOs that i can invest my money in,en-IN
737963ae-f67e-4dbd-95bf-ac8399e78b18,pay my gas cylinder bill of one thousand rupees,en-IN
556766c1-4ddd-4c1e-bb5d-7e880a416bf4,scan and send three thousand rupees,en-IN
537070f1-0ddb-4d84-ad86-c6f71005bad0,please donate eleven hundred rupees to this fund for treating india,en-IN
415579bf-3003-4e98-86bd-500240968e24,rahul,en-IN
0219845b-5a4e-4afc-97c2-bfdc66a9c4fa,how to see remaining balance,en-IN
214284b2-9e9e-4a66-9f0d-3fe026ee2840,scan and pay two hundred eleven rupees,en-IN
167308bb-e5c4-4a1d-bdc4-8e2d2bc0a573,show me active IPOs list,en-IN
143833ed-6197-47a3-b580-eb70f8a0e526,approve my pending bill payment of hundred rupees to airtel,en-IN
95726fae-b6cf-4cbf-834e-d7f6e2f83921,i would like to view all the offers,en-IN
94342adc-ca2b-42b5-8301-ccc6b2e52f1f,ask saurav to send one thousand five hundred rupees for the last night party share,en-IN
90430ebd-7e1f-4052-9817-f43e285cb7e7,send five hundred to anjali,en-IN
88818d0b-a0f5-4c17-a0a4-8dcee106dcae,ajith,en-IN
77059c3e-1944-4043-96e2-74326ef24458,gift a hundred rupees to dhyanesh,en-IN
72368efc-4f62-4a1d-aad9-e8118b8c6cc1,show me offers related to payments,en-IN
66460bba-db7c-400f-a37e-cd82970d6c2d,show me what all IPOs are active,en-IN
65980b93-9dc5-45b3-bec4-47ce61fb53b3,send one thousand five hundred to saurav for last party,en-IN
53379e1c-3dd5-49df-8d88-2d3dc5d44492,scan three thousand rupees,en-IN
51455a06-18d8-4183-b9ae-83b70a1ad9b1,approve my IPO request of five hundred rupees for CHEMICON industry,en-IN
51428a4b-7ab6-4a4c-9d26-51ce4d40b275,give vijay two fifty rupees,en-IN
40722c71-12d5-4a28-9bf7-ab94dea3af55,harikrishnan,en-IN
37085cca-3614-45f3-8a64-4068ef19458a,send receive request from ICICI bank for ten lakh rupees,en-IN
36130e2a-9e51-44aa-816f-5e680844f299,i would like to view all the active IPOs,en-IN
029830ba-de15-4c00-b7dc-75747e104773,karthikeyan needs five hundred rupees please send it,en-IN
23919d45-8431-4896-8ed7-6bb44ac812e4,whats my account history,en-IN
22729be2-46a8-418e-931b-162d94780a7f,approve electricity bill,en-IN
22584aaf-60d9-4add-9d52-e0158c3620ac,i want to gift five thousand rupees for her birthday,en-IN
017907af-d76b-45be-bd29-f3212d86c0c5,please approve my pending payments,en-IN
16755b48-8d5a-467e-8ace-30af5e1ffd0b,i want to pay my airtel bill,en-IN
15421eeb-ffd1-4435-9924-36832d19cfee,show me IPO,en-IN
13130f1d-f7c4-4bf7-a0ae-eadc23e48dcd,10 rupees,en-IN
0a1fd0c8-8128-4372-9743-8382f13ee998,send five hundred to subham ,en-IN
0a2d4b20-8059-4c63-9e2a-f0f2b9c6ffe6,i want to send ,en-IN
00a7b313-637e-4dc5-a6a1-3f8eff29b7ad,pin broadband ,en-IN
00a500e1-da78-467d-a953-edce1d951bd1,send twelve rupee to harsh,en-IN
0b6c2d63-3518-4381-8faf-f46b5f45b116,request six thousand five hundred from ramesh,en-IN
0b0408c0-316d-45bc-a9a5-d24d50b9e12a,five hundred,en-IN
0bc3bc51-92a2-42ec-8b30-d0377ad22697,send nine hundred rupees to hotel ,en-IN
0c98a864-1f2a-447b-8f92-c299f169acf7,show my transaction records ,en-IN
0c3579a2-d0ab-49a0-a321-c4a5e1e44090,show my balance ,en-IN
00ca3d36-f4f3-4ee8-b9c7-6eb4086a6d02,i want to see my transactions ,en-IN
0ce7adb0-ff9f-4bff-9caa-8f596220136d,pin balance enquiry payment,en-IN
0ce48c1e-e1f9-4e09-bc04-13bb97c7f1b9,KYC,en-IN
0d9d6a81-34e7-4cf6-b143-9f58467715d3,open the qr scanner ,en-IN
0d56ae85-df96-4447-b649-27ff17988291,green lance high school,en-IN
0d3574ef-2ad1-4f91-8cf6-f9ee866c0af2,request one thousand rupees from aditya ,en-IN
0d9755b3-f49b-490e-b0c9-bc16dcf6b415,what is my balance ,en-IN
0e4ef84d-2a7c-4379-ac3e-f9882d9c078b,akshara international school,en-IN
0e9d7840-ceaa-435b-ac32-2e39a7a925a2,open scanner ,en-IN
0e44de11-261c-420e-be2b-ba9e4b158b68,send birthday gift of three thousand two hundred to sita,en-IN
0f2f5631-2230-426b-b261-139c6d62ab61,transaction history ,en-IN
0f3a39f2-73c0-41d0-8ad3-83f48576b5b6,donations,en-IN
0fcd6411-decf-483c-92af-f01aba7654ce,scan one hundred rupees,en-IN
01ca747b-c462-4994-9278-5c57ca8b4502,five hundred rupees,en-IN
02aed9ae-6922-4795-9fc3-0cf8b7e80d1a,can i see the latest ipo,en-IN
02f9a9e5-291f-4dfd-87fa-072f719f61fa,request ten thousand rupees from slanglabs as december bonus,en-IN
02face69-0af8-4695-aa81-14871ee9b33b,send fifty to subham ,en-IN
003b4855-1476-463f-ad28-269f33fcf0a5,gift mom,en-IN
05b3066b-5771-4012-9a8a-1094d901ae8b,i want to check my balance ,en-IN
05c11996-8a13-438b-bb5c-07b93b634269,view my bank balance ,en-IN
06d484ce-daa5-4749-b458-cb9e981145a8,view my ipo ,en-IN
06e4ef5b-9c97-4ae1-a8e6-80ea274207e6,can I see the latest IPO,en-IN
07b5f85f-1ab7-4e7e-bf00-34e6bda8ec4c,view my account balance,en-IN
07e040db-1011-4d7e-99ca-22cf595208af,show all the IPOs listing,en-IN
08a027e5-0607-497f-9f28-77ab9b211db4,harsh,en-IN
09d1334f-ba25-49f9-84f5-30c9350b6afd,request money from,en-IN
